energy,energy_error,gradient_error
-3500.97890245,0.0,1.2
-3501.45469055,0.48,0.89
-3502.48830253,1.0,0.34
-3503.15161307,0.66,0.15
-3503.38727777,0.24,0.15
-3503.48388455,0.097,0.053
-3503.52016873,0.036,0.03
-3503.55017046,0.03,0.03
-3503.56762648,0.017,0.036
-3503.58163446,0.014,0.023
-3503.59857929,0.017,0.014
-3503.60835162,0.0098,0.022
-3503.61764312,0.0093,0.015
-3503.62836048,0.011,0.018
-3503.63617275,0.0078,0.023
-3503.64623541,0.01,0.016
-3503.65490928,0.0087,0.02
-3503.66120922,0.0063,0.025
-3503.66807749,0.0069,0.033
-3503.67482203,0.0067,0.014
-3503.68048346,0.0057,0.02
-3503.68352284,0.003,0.038
-3503.68909703,0.0056,0.017
-3503.69219965,0.0031,0.012
-3503.69489888,0.0027,0.0096
-3503.69745943,0.0026,0.0082
-3503.69964302,0.0022,0.01
-3503.70078428,0.0011,0.016
-3503.70183658,0.0011,0.015
-3503.70303641,0.0012,0.0066
-3503.70380949,0.00077,0.0059
-3503.70435931,0.00055,0.0056
-3503.70485688,0.0005,0.0033
-3503.70527339,0.00042,0.0036
-3503.70581329,0.00054,0.0043
-3503.70622645,0.00041,0.0059
-3503.70648271,0.00026,0.0023
-3503.70671699,0.00023,0.0029
-3503.70696132,0.00024,0.0026
-3503.70721955,0.00026,0.0037
-3503.70744734,0.00023,0.0033
-3503.7076433,0.0002,0.0025
-3503.70785028,0.00021,0.0036
-3503.70804107,0.00019,0.002
-3503.70820387,0.00016,0.0026
-3503.7083566,0.00015,0.002
-3503.70849268,0.00014,0.0017
-3503.70864491,0.00015,0.002
-3503.7088021,0.00016,0.002
-3503.70894882,0.00015,0.0023
-3503.70914881,0.0002,0.0026
-3503.70942,0.00027,0.0027
-3503.70967585,0.00026,0.0042
-3503.70997761,0.0003,0.0036
-3503.71048997,0.00051,0.005
-3503.71116081,0.00067,0.0077
-3503.71220699,0.001,0.0084
-3503.71058708,0.0016,0.056
-3503.71273191,0.00052,0.012
-3503.71464333,0.0019,0.02
-3503.71646321,0.0018,0.013
-3503.71833653,0.0019,0.023
-3503.72119921,0.0029,0.022
-3503.72208962,0.00089,0.05
-3503.72657873,0.0045,0.031
-3503.73048877,0.0039,0.021
-3503.73334682,0.0029,0.036
-3503.73695571,0.0036,0.022
-3503.74184004,0.0049,0.012
-3503.73943345,0.0024,0.071
-3503.74322898,0.0014,0.021
-3503.74550086,0.0023,0.011
-3503.74745353,0.002,0.0097
-3503.7492469,0.0018,0.018
-3503.75029782,0.0011,0.02
-3503.75160655,0.0013,0.0056
-3503.75275396,0.0011,0.0091
-3503.75373027,0.00098,0.006
-3503.75479065,0.0011,0.014
-3503.75562571,0.00084,0.0094
-3503.75640345,0.00078,0.0056
-3503.75717804,0.00077,0.0044
-3503.7578203,0.00064,0.0039
-3503.75839552,0.00058,0.0045
-3503.7587712,0.00038,0.005
-3503.75908569,0.00031,0.0078
-3503.75948192,0.0004,0.0057
-3503.75986578,0.00038,0.0032
-3503.760261,0.0004,0.0047
-3503.76065544,0.00039,0.0036
-3503.76111261,0.00046,0.0044
-3503.76147498,0.00036,0.0041
-3503.76182852,0.00035,0.0036
-3503.76221606,0.00039,0.0053
-3503.76253457,0.00032,0.004
-3503.76287581,0.00034,0.0038
-3503.76322123,0.00035,0.0037
-3503.76355001,0.00033,0.0038
-3503.76384205,0.00029,0.004
-3503.76412052,0.00028,0.0038
-3503.76434603,0.00023,0.0028
-3503.76455799,0.00021,0.0044
-3503.7647632,0.00021,0.0029
-3503.76499242,0.00023,0.0027
-3503.76519848,0.00021,0.0028
-3503.76539115,0.00019,0.0019
-3503.76557431,0.00018,0.0025
-3503.76573883,0.00016,0.0021
-3503.76591466,0.00018,0.0023
-3503.76608445,0.00017,0.0025
-3503.76622623,0.00014,0.0024
-3503.7663678,0.00014,0.0023
-3503.76650189,0.00013,0.0032
-3503.76663476,0.00013,0.002
-3503.76677739,0.00014,0.0026
-3503.76692413,0.00015,0.0021
-3503.76708025,0.00016,0.0022
-3503.76724824,0.00017,0.0022
-3503.76740697,0.00016,0.002
-3503.7675622,0.00016,0.0027
-3503.767703,0.00014,0.0018
-3503.76784274,0.00014,0.0022
-3503.7679622,0.00012,0.0033
-3503.76807049,0.00011,0.0025
-3503.76817196,0.0001,0.0019
-3503.76828333,0.00011,0.0024
-3503.76838959,0.00011,0.0022
-3503.7685085,0.00012,0.0015
-3503.76860047,9.2e-05,0.0016
-3503.76868631,8.6e-05,0.0018
-3503.7687735,8.7e-05,0.0015
-3503.76885452,8.1e-05,0.0012
-3503.7689308,7.6e-05,0.0013
-3503.76900311,7.2e-05,0.0011
-3503.76906256,5.9e-05,0.0016
-3503.76911937,5.7e-05,0.0012
-3503.76917924,6e-05,0.0012
-3503.76922983,5.1e-05,0.0014
-3503.76927337,4.4e-05,0.0011
-3503.76932237,4.9e-05,0.00094
