,name,gas,pressure,temp,cutoff,path,Average loading absolute [mol/kg framework],Average loading excess [mol/kg framework],Average loading absolute [molecules/unit cell],Average loading excess [molecules/unit cell]
0,BAMOF_OPT_with_charge,N2,0.01,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.01bar_14.0/Output/System_0,17.019163146,17.019163146,26.1704625,26.1704625
1,BAMOF_OPT_with_charge,N2,0.03,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.03bar_14.0/Output/System_0,17.8591294127,17.8591294127,27.4620833333,27.4620833333
2,BAMOF_OPT_with_charge,N2,0.051,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.051bar_14.0/Output/System_0,17.898335552,17.898335552,27.5223708333,27.5223708333
3,BAMOF_OPT_with_charge,N2,0.071,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.071bar_14.0/Output/System_0,18.0188804078,18.0188804078,27.7077333333,27.7077333333
4,BAMOF_OPT_with_charge,N2,0.101,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.101bar_14.0/Output/System_0,18.2929738361,18.2929738361,28.1292083333,28.1292083333
5,BAMOF_OPT_with_charge,N2,0.132,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.132bar_14.0/Output/System_0,18.5459372987,18.5459372987,28.5181916667,28.5181916667
6,BAMOF_OPT_with_charge,N2,0.172,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.172bar_14.0/Output/System_0,18.4467906654,18.4467906654,28.3657333333,28.3657333333
7,BAMOF_OPT_with_charge,N2,0.202,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.202bar_14.0/Output/System_0,18.3711991478,18.3711991478,28.2494958333,28.2494958333
8,BAMOF_OPT_with_charge,N2,0.253,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.253bar_14.0/Output/System_0,18.6112266709,18.6112266709,28.6185875,28.6185875
9,BAMOF_OPT_with_charge,N2,0.304,77.0,14.0,BAMOF_OPT_with_charge_N2_77.0K_0.304bar_14.0/Output/System_0,18.7606457143,18.7606457143,28.84835,28.84835
10,MIL125_NH2_OPT_with_charge,N2,0.01,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.01bar_14.0/Output/System_0,17.5673196656,17.5673196656,29.0517458333,29.0517458333
11,MIL125_NH2_OPT_with_charge,N2,0.03,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.03bar_14.0/Output/System_0,18.1309543591,18.1309543591,29.98385,29.98385
12,MIL125_NH2_OPT_with_charge,N2,0.051,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.051bar_14.0/Output/System_0,18.6381663739,18.6381663739,30.8226458333,30.8226458333
13,MIL125_NH2_OPT_with_charge,N2,0.071,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.071bar_14.0/Output/System_0,18.8582536216,18.8582536216,31.1866125,31.1866125
14,MIL125_NH2_OPT_with_charge,N2,0.101,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.101bar_14.0/Output/System_0,19.047977839,19.047977839,31.5003666667,31.5003666667
15,MIL125_NH2_OPT_with_charge,N2,0.132,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.132bar_14.0/Output/System_0,19.5461220133,19.5461220133,32.3241666667,32.3241666667
16,MIL125_NH2_OPT_with_charge,N2,0.172,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.172bar_14.0/Output/System_0,19.3396453448,19.3396453448,31.9827083333,31.9827083333
17,MIL125_NH2_OPT_with_charge,N2,0.202,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.202bar_14.0/Output/System_0,19.4207923132,19.4207923132,32.1169041667,32.1169041667
18,MIL125_NH2_OPT_with_charge,N2,0.253,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.253bar_14.0/Output/System_0,19.4541586405,19.4541586405,32.1720833333,32.1720833333
19,MIL125_NH2_OPT_with_charge,N2,0.304,77.0,14.0,MIL125_NH2_OPT_with_charge_N2_77.0K_0.304bar_14.0/Output/System_0,19.4739824163,19.4739824163,32.2048666667,32.2048666667
